id,query,doc_id,doc_title,relevant_chunks,acceptable_chunks,source_chunk_text
G-A-011,스튜디오 핵심 가치와 서비스는,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,3,,[문서] 스튜디오의 핵심 가치와 제공 서비스를 설명하는 6가지 항목  1.진정성 있는 아름다움 포착 : 고객의 진정한 아름다움을 이끌어내는 자연스러운 사진을 제공합니다. 2.맞춤형 1:1 서비스 : 개별 고객의 요구와 개성을 반영한 맞춤형 촬영 서비스를 제공합니다. 3.편안한 촬영 환경 : 따뜻한 채광과 자연 요소가 어우러진 편안한 촬영 공간을 제공합니다.
G-A-012,AI 산업의 미래 전망은,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,115,"918,119,383,113,919,155,18,921,925,70,384,168,19,82,112","향후 세계성장 경로에서의 핵심리스크는 미국의 품목별, 국별 관세정책과 관련한  불확실성이 높은 가운데, AI산업의 전개양상과 중국경제 향방을 들 수 있다. 2026년 현 재 AI산업은 가시적인 성과수익, 생산성향상 창출 여부, 전력∙비용 등 물리적 제약을 둘러싸 고 낙관론과 비관론이 병존하고 있는 상황이다. 만약 피지컬 AI 확산 등 AI산업의 양 적∙질적"
G-A-013,이전소득수지 전망치,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,341,"330,67,102,284",• 본원·이전소득수지  185  63  132  195  83  134  216  221  <125> <136>  <261> <100> <175> <275>  <291>  주: 1) < >내는 2025.11월 전망 기준        증가율  자료: 조사국
G-A-014,물가 전망 정확도 개선 정도,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,779,"836,837,807,810,804,788,830,806,814,826,784,773,825,793,821,791,772,834,824,778,815,838,794,787,827,572,798","5. 물가 전망의 경우에도, 정확도가 대체로 양호하였고[그림7], [표1] 과거에 비해 개선  (0.40 → 0.13)되었으며,[표2] 통계적으로 유의미한 전망의 체계적 편의나 정보 활용의  비효율성도 나타나지 않았다.[그림12], [표3] 다만, 전망치가 물가목표2%에 수렴해 가는  경향성이 있어 저물가 시기13∼16년에는 과대예측이 있었다.[그림9]  "
G-A-015,중국 내수 부양책 발표 예상,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,941,"187,188,940,939,184","대비 유로 화 30% 절하를 고려해야 한다고 주장하였다26.2월. 25 중국정부는 내수 확대를 전년에 이어 금년에도 최우선 정책 과제로 제시 중앙경제공작회의 25.12월 하였다. 시장에서는 올 해 중국경제에서 소비 및 대외부문의 성장기여도가 전년대비 약해질 것으로 전망하고 있는데, 이에 중국정부가 3월 양회 이후 이구환신 등 소비재 구매 보조뿐 아니라 서비"
G-A-016,보건의료 빅데이터 활용 법적 근거 강화 방안,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),18,"153,17,158,19,43,36,14,41,13,168,157,113,21,152,34,6,23,150,117,45,154,114,3",○(입법추진) 보건의료빅데이터의활용및개인정보보호를위한  법적근거를강화(특별법제정등추진검토)  ○(R&D) 공공적목적의의료기술․정책․정보보호기술등연구를  위한R&D 지원병행  < 단계별사업추진(안) 개요>  연도 2017년 2018년 2019년 2020년 2021년 2022년  단계 준비단계 시범사업단계 본사업단계  전략 전략수립 전략추진  거버넌스 위원회준
G-A-017,데이터 일부에 무작위 감산 적용 이유,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),60,"160,63,28","○제공데이터중일부에대해미세한무작위가감을가하여,  전체적인통계영향은없되, 제3자제공경로를파악  * 예: 키180.3 →180.2, 몸무게75.2 →75.3  < 기술적 정보보안체계 구축 >  □ 공개키 기반 전송구간 암호화, 망분리 등 보안체계 완비  ○공개키기반전송구간암호화(PKI*)를통한암호키, 데이터전송보호  * Public Key Infrastruct"
G-A-018,보건의료 빅데이터 플랫폼 기능,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),122,"171,7,150,10,173,134,55,14,78,90,6,133,45,31,151,43,156,117,37,113,9,166","붙임 8 붙임 8  보건의료 빅데이터 플랫폼 주요 기능(안)  ○보건의료빅데이터플랫폼  개요  주요공공기관과의온라인연계를통해기관보유빅데이터를  실시간으로제공받아결합, 처리등을거쳐이용자에게제공  이용자 정책입안자·연구자, 의학연구자, 일반국민등  핵심기능 ○(자료연계) 기관별데이터공개로드맵에기반하여공개용데이터마트구축  하고, 플랫폼수준에서의협약을통한연계체계구"
G-A-019,주민등록번호 암호화 방식 차이점,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),162,"67,70,160,58,124","[문서] 주민등록번호 암호화의 기존 방식과 개편 방식을 비교하여 보안 강화 개념을 설명  붙임 2 주민등록번호 일반 암호화 개념 주민번호만을 암호화하는 기존 방식과 달리, 무작위 숫자와 함께 암호화하는 방식을 통해 해킹·유출 시에도 주민번호 추측 불가능 * Salt + Hash 방식, bcrypt, scrypt 등 활용 - 기존 방식에 비해 추측에 소요되는"
G-A-020,금성 지각 재편성 원인,b6cae73a-56b2-463a-9187-6e8242fc4383,승인글 템플릿1,17,"25,30,16","판 구조론의 부재와 금성의 전 행성적 지각 재편성  지구의 지질학적 가장 큰 특징이 여러 개의 지각 판이 이동하며 에너지를 분출하는 '판 구조론'이라면, 금성은 판의 이동이 관찰되지 않는 단일 지각 구조를 가지고 있다는 점이 결정적인 차이점입니다. 지구는 판과 판이 충돌하거나 섭입하는 과정을 통해 내부 열을 꾸준히 외부로 방출하고 대기 중의 이산화탄소를 순"
G-A-021,미행성 충돌이 태양계에 미치는 영향,b6cae73a-56b2-463a-9187-6e8242fc4383,승인글 템플릿1,52,"47,35,2,53,124,81,39,45,55,44",미행성 충돌의 단계별 의미와 결과 요약  태양계 형성 과정에서 미행성 충돌이 갖는 주요 의미와 그에 따른 물리적 변화를 아래 표와 같이 정리하였습니다.
G-A-022,소행성 종류별 특징은 무엇인가,b6cae73a-56b2-463a-9187-6e8242fc4383,승인글 템플릿1,86,"93,130,48,2","이번 글을 태양계 소행성의 종류에 대해 알아보겠습니다. 태양계에는 태양, 행성, 많은 천체들이 있는데 그 중 소행성은 초기 미행성체가 행성으로 성장하지 못 한 것으로 평가 받는 천체입니다. 대부분 화성과 목성에 많이 분포되어 있습니다. 앞으로는 소행성의 종류와 특징에 대해 하나하나 알아가보도록 하겠습니다.  태양계의 형성과 진화를 간직한 타임캡슐, 소행성 "
G-A-023,성운 회전 속도 변화 원리,b6cae73a-56b2-463a-9187-6e8242fc4383,승인글 템플릿1,121,"32,40,31,125,33","원시 성운의 회전과 각운동량 보존 법칙  태양계는 거대한 분자 구름이 중력에 의해 수축하면서 시작되었습니다. 초기 성운은 불규칙한 모양으로 서서히 회전하고 있었는데, 중력 붕괴로 인해 성운의 크기가 작아질수록 피겨 스케이트 선수가 팔을 오므리면 회전 속도가 빨라지는 것과 같은 각운동량 보존 법칙에 의해 회전 속도가 급격히 빨라졌습니다. 성운이 빠르게 회전하"
G-A-024,삼국시대 정치 구조의 의미,cea21310-bf1b-4947-850c-bac378e53463,승인글 템플릿3,13,"20,62,27,48,55,14,83,34,8,69,97,76,41,0,104,72,70,21,90,1,111,91,3,77,56,35,28,71,24,63,50,7","삼국시대 정치 구조의 역사적 의의와 중앙 통치 체계의 완성  삼국시대의 중앙 통치 체계 형성은 단순히 관리의 숫자를 늘리는 과정을 넘어 부족 연맹 국가에서 진정한 의미의 국가로 변모하는 결정적인 단계였습니다. 각국이 도입한 관등제와 행정 기구는 흩어져 있던 지방의 자치력을 중앙으로 집중시켰으며 이를 통해 확보된 인적, 물적 자원은 대규모 토목 사업과 정복 "
G-A-025,삼국시대 지방 제도 정비의 역사적 의미,cea21310-bf1b-4947-850c-bac378e53463,승인글 템플릿3,41,"34,48,35,13,28,42,2,20","지방 행정 제도 정비가 삼국 사회에 미친 영향과 역사적 가치  삼국시대의 지방 행정 제도 정비와 지방관 파견은 부족 단위로 분산되어 있던 에너지를 하나의 국가적 동력으로 결집시킨 거대한 정치적 혁신이었습니다. 지방관의 파견을 통해 국가는 비로소 추상적인 권위에서 벗어나 백성의 삶에 실질적으로 개입하는 공공 기구로서의 면모를 갖추게 되었으며, 이는 생산력 증"
G-A-026,삼국시대 귀족 회의의 정치적 역할,cea21310-bf1b-4947-850c-bac378e53463,승인글 템플릿3,69,"55,27,22,62,57,63,13,97,20,104,48,21,67","귀족 회의 기구 운영의 역사적 의의와 한국 정치의 원형  삼국시대의 귀족 회의 기구 운영은 한반도 고대 국가가 단순한 1인 전제 정치를 넘어, 사회적 엘리트 계층의 공론을 바탕으로 국가를 운영하는 높은 수준의 정치 문화를 가졌음을 입증합니다. 이러한 합의제 전통은 권력의 집중으로 발생할 수 있는 독단과 부패를 방지하고, 국가적 위기 시 전 귀족 세력이 일치"
G-A-027,삼국 외교가 한국 역사에 준 교훈,cea21310-bf1b-4947-850c-bac378e53463,승인글 템플릿3,97,"104,111,91,62,55,20,27,13,69,7,98,48,105,76","삼국 외교 정책이 한국 정치사에 남긴 교훈과 의의  삼국시대의 외교 정책은 한반도의 고대 국가들이 고립된 존재가 아니라 동아시아라는 거대한 국제 질서 속에서 치열하게 상호작용하며 성장했음을 보여줍니다. 각국은 외교를 통해 선진적인 법제와 종교, 기술을 받아들여 내부적인 정치 구조를 혁신하였으며, 이는 삼국이 단순한 부족 연합체를 넘어 고도의 문명 국가로 진"
G-A-028,경영지원처 팀 구성은 어떻게 되나요,a5f3cfae-5059-41d4-8623-e9b6f23231c2,직제_규정(2024.4.30.개정),65,"112,64","②공무직 및 청원경찰의 정수는 예산의 범위 내에서 정하되, 공무직의 정수는 공무직 관리 규정에 따르며 청원경찰의 정수는 별표 3과 같다. <타)개정 2020.5.14 규정 제348호, 타)개정 2021.12.24. 규정 제368호, 개정 2022. 12. 27. 규정 제374호>  제4장  업 무 분 장  제15조(경영지원처) 경영지원처에는 기획예산팀, 총"
G-A-029,윤리경영 및 소송 업무,a5f3cfae-5059-41d4-8623-e9b6f23231c2,직제_규정(2024.4.30.개정),81,"66,82,80,68","2. 윤리경영관련 업무 총괄  3. 소송업무 총괄  4. 일상감사 업무<삭제 2020.12.14. 규정 제352호, 신설 2021.12.24. 규정 제367호>  5. 중대재해 및 재난안전관리 업무 총괄 <신설 2021.12.24. 규정 제367호>  6. 삭제 <신설 2014.6.23 규정 제270호, 신설 2021.12.24. 규정 제367호, 삭제 "
G-A-030,전임계약직 운영내규 개정 내용,a5f3cfae-5059-41d4-8623-e9b6f23231c2,직제_규정(2024.4.30.개정),97,"96,99,98,107,121,95,88,63,102,100,89","⑦전임계약직직원운영내규 중 다음과 같이 개정한다.  제18조 제2항 중 “경영본부장”을 “경영이사”로, 별표 1의 구분 중 “용운스포츠센터팀장”을 “용운스포츠센터장”으로 한다.  ⑧회계내규 중 다음과 같이 개정한다.  제6조 제1항 제1호, 제3호, 제6호 중 “경영본부장”을 “경영전략처장”, 제6조 제1항 제9호 중 “관리팀장”을 “한밭운동장운영팀장”, "
G-A-031,직제 규정 개정 내용,a5f3cfae-5059-41d4-8623-e9b6f23231c2,직제_규정(2024.4.30.개정),112,"64,65,86,119,94,106,104,103,118","부칙 (규정 제348호)  제1조(시행일) 이 규정은 발령한 날부터 시행한다. <단서 생략>  제2조 (생략)  제3조(다른 규정의 개정) 직제 규정 일부를 다음과 같이 개정한다.  제14조를 다음과 같이 한다.  제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.  ②업무직 및 청원경찰의 정수는 예산의 범위 내에서 정하되, 업무직의 정수는 업"
G-A-032,체육관 이용료는 얼마인가요,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),11,"18,22",제4조(이용료의 징수) 체육관의 이용료는 별표 1과 같이 정한다. <개정 2019.6.7. 내규 제498호>  제5조(이용료의 경감 및 반환) 체육관 이용료의 경감 및 반환에 관한 사항은 대전광역시 체육시설 관리운영 조례에 따른다. <개정 2019.6.7. 내규 제498호>  제6조(이용료의 반환) 삭제 <개정 2019.6.7. 내규 제498호>
G-A-033,체육관 개방 제한 사유,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),21,"20,22",제11조(허가제한) 삭제 <삭제 2022. 11. 23. 내규 제709호>  제12조(개방제한) 다음 각 호에 해당되는 때에는 개방제한 사유 및 기간을 사전에 고지한 후 체육관의 개방을 제한할 수 있다.  1. 국가·지방자치단체·공단에서 주관하는 각종 행사를 개최하는 경우  2. 시설을 개·보수하는 경우  3. 기타 시설 이용 시 현저한 위험이 예상되는 경
G-A-034,월 회원 카드 사용법,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),50,"19,51,18","※ 이용료는 1일 1회 입장 기준임. (일일입장: 2시간, 월 회원: 일 1회)  [별표 2] <개정 2022.3.23. 내규 제663호, 개정 2022. 11. 23. 내규 제709호>  회원카드 이용 준수사항(제7조 관련)  1. 월 회원인 경우 회원카드를 관리자에게 제시하고 시설을 이용하여야 합니다.  2. 회원카드를 불가피하게 양도양수할 경우 공단"
G-A-035,체육관 이용 시 주의사항,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),54,"55,53,18","2. 이용자 부주의로 시설물이 훼손된 경우 즉시 원상복구하거나 손해배상을 하여야 합니다.  3. 개인 또는 클럽물품(사물함 등)의 설치를 금합니다.  4. 체육관 내에서 고성방가, 음주, 취사, 흡연 등을 금합니다.  5. 어린이를 동반하는 보호자는 안전에 유의하여야 합니다.  단, 미취학 아동은 보호자 동반 하에 입장이 가능하며, 안전사고 우려로 보호자가"
G-A-036,하도급법의 입법 취지는 무엇인가,80b48fa9-fe83-4fef-af31-af116494183d,law sample2,5,"20,3,21,24,22,25,6","[2] 하도급거래 공정화에 관한 법률(이하 ‘하도급법’이라 한다)은 공정한 하도급거래질서를 확립하여 원사업자와 수급사업자가 대등한 지위에서 상호 보완하며 균형 있게 발전할 수 있도록 하는 것을 목적으로 하는 일종의 특별법으로, 이러한 하도급법의 입법 취지를 아울러 고려하면, 기존의 직접지급합의 중 아직 시공이 완료되지 않아 직접지급청구권이 발생하지 않은 부"
G-A-037,하도급대금 직불 합의 변경 내용,80b48fa9-fe83-4fef-af31-af116494183d,law sample2,14,"15,23,24,22,18,13,16,26,21,17,25","라. 한편 원고와 피고들은 2019. 5. 1. 발주자인 피고 대구광역시가 직접 수급사업자인 원고에게 이 사건 하도급계약에 기한 하도급대금을 지급하기로 하는 합의(직불합의금액 4,323,700,000원, 이하 ‘이 사건 직불합의’라 한다)를 하였다. 이후 원도급금액 중 원고 공사 부분의 하도급액 변경에 따라, ① 피고 대구광역시는 2019. 6. 21. 직"
G-A-038,하도급법 입법 취지와 직접지급 합의 해지,80b48fa9-fe83-4fef-af31-af116494183d,law sample2,20,"5,3,21,22,24,25,18,6","하도급법은 공정한 하도급거래질서를 확립하여 원사업자와 수급사업자가 대등한 지위에서 상호 보완하며 균형 있게 발전할 수 있도록 하는 것을 목적으로 하는 일종의 특별법으로 ( 대법원 2014. 9. 25. 선고 2014다25153 판결 참조), 이러한 하도급법의 입법 취지를 아울러 고려하면, 기존의 직접지급합의 중 아직 시공이 완료되지 않아 직접지급청구권이 발"
G-A-039,하도급대금 직접지급 요청 적법성,80b48fa9-fe83-4fef-af31-af116494183d,law sample2,26,"17,18,16,23,22,15,24,14,12,21,25,27","2) 제2 상고이유에 대하여  원고가 피고 대구광역시에 대하여 하도급법 제14조 제1항 제4호 에 따라 하도급대금 직접지급을 요청한 것은 이 사건에서 제출된 2023. 2. 7. 자 청구취지 및 청구원인 변경신청서 부본의 송달을 통해서인데, 당시에는 피고 대구광역시의 상계 및 변제로 피고 공동수급체에 대한 공사대금채무가 소멸하였으므로 피고 대구광역시가 직접"
G-A-040,채무 변제 시 소멸시효는 어떻게 적용되나요,0ed5a024-e076-4893-a766-90b5d689f372,law sample3,5,"19,4,18,15,20,21,27","【판결요지】  [1] 채무자가 부담하는 수 개의 채무의 소멸시효기간이 모두 동일한 경우에는 소멸시효의 중단, 정지 등 특별 한 사정이 없는 한 이행기가 먼저 도래하는 채무가 소멸시효도 먼저 완성된다. 그런데 민법 제477조 는 제2 호 에서 변제이익을, 제3호 에서 이행기를 기준으로 법정변제충당의 순서를 정한다고 규정하고 있는바, 문언 상 이행기 도래의 선"
G-A-041,원고 피고 정보,0ed5a024-e076-4893-a766-90b5d689f372,law sample3,11,,"【원고, 상고인】 원고 (소송대리인 법무법인 태일 담당변호사 김성훈 외 2인)  【피고, 피상고인】 피고  【대상판결】  【원심판결】 인천지법 2025. 7. 9. 선고 2024나74413 판결"
G-A-042,변제 충당 순서 법리 오해,0ed5a024-e076-4893-a766-90b5d689f372,law sample3,19,"5,18,4,15,21,20","효가 나중에 완성된다고 단정할 수 없고, 소멸시효가 나중에 완성되는 채무가 먼저 완성되는 채무보다 변제이 익이 많다고 보기 어려움에도 , 변제 제공 당시 가장 최근에 성립한 채권이 소멸시효가 나중에 완성되므로 변 제이익이 많다고 보아 그 채무의 변제에 우선 충당되어야 한다고 판단한 원심판결에는 법정변제충당의 순서에  관한 법리를 오해한 잘못이 있다.  2)"
G-A-043,항소심에서 확정되는 부분은 무엇인가,0ed5a024-e076-4893-a766-90b5d689f372,law sample3,24,"6,13","한도로 제한되고, 나머지 부분은 원고가 불복한 바가 없어 항소심의 심판대상이 되지 아니하므로, 그 부분에  대해서는 항소심판결의 선고와 동시에 확정되어 소송이 종료된다 ( 대법원 2001. 4. 27. 선고 99다30312 판 결 , 대법원 2004. 6. 10. 선고 2004다2151, 2168 판결 등 참조).  제1심판결 중 원심의 심판대상이 되지 않"
